시군코드,시도,시군,시도별_가축더위지수,읍면동_총거주자수,가축분뇨발생량_합계_면적비,가축사육종사자수,분뇨처리업장_개수,분뇨처리_정화,환경오염지수
32030,강원도,강릉시,0.55384142623965,0.5740565174588497,0.05874024618024079,0.7213569202370381,0.0,0.6476817476937748,5092.776887644208
32400,강원도,고성군,0.55384142623965,0.029031944892910833,0.02615806444965168,0.636633631776035,0.0,0.18715074765595865,2265.5395339447064
32040,강원도,동해시,0.55384142623965,0.3733766410137296,0.010966958513585133,0.5437358325243977,0.0,0.0,947.4592326350038
32070,강원도,삼척시,0.55384142623965,0.2555133005516126,0.021745597730406446,0.776086476901544,0.0,0.0,1882.6852370708839
32380,강원도,양구군,0.55384142623965,0.08536304046029741,0.03958357162471963,0.6381358559993698,0.0,0.0,3430.473936601661
32410,강원도,양양군,0.55384142623965,0.13789700013281037,0.03370012338663539,0.6482242563365611,0.0,0.0,2919.9737049889964
32330,강원도,영월군,0.55384142623965,0.2241395619689701,0.017527855824700584,0.7047101975308271,0.0,0.0,1516.713428063035
32020,강원도,원주시,0.55384142623965,0.7476474517377918,0.10022233943146389,0.8343364119648109,0.33333333333333337,0.6811283505644254,8692.231006564509
32390,강원도,인제군,0.55384142623965,0.14177486975037112,0.01525217401057099,0.6602136127153271,0.0,0.0,1319.2446624554045
32350,강원도,정선군,0.55384142623965,0.16867767536870737,0.011823901455261299,0.613717902800379,0.0,0.0,1021.7812303118043
32360,강원도,철원군,0.55384142623965,0.1730394885301214,0.1933659776012416,0.796372344211595,0.8616541669070521,0.776991711717028,16774.287686771935
32010,강원도,춘천시,0.55384142623965,0.6480298497841988,0.045515135068744446,0.8084321313933868,0.0,0.48580724802650554,3945.23296445322
32050,강원도,태백시,0.55384142623965,0.289897964220291,0.021431322565776414,0.518127561811724,0.0,0.0,1855.4424761571936
32340,강원도,평창군,0.55384142623965,0.18530301454411102,0.027505282001371444,0.6272663863312609,0.33333333333333337,0.0,2382.492949076114
32310,강원도,홍천군,0.55384142623965,0.3757529226773837,0.05706680897957072,0.8432857202757412,0.5283208335737188,0.0,4947.576867192875
32370,강원도,화천군,0.55384142623965,0.08657322329809869,0.02886545016857987,0.6724349371501063,0.0,0.0,2500.459779951755
32320,강원도,횡성군,0.55384142623965,0.27099585016032224,0.14964198187489092,0.9331642897104132,0.33333333333333337,0.7352824703850551,12980.298854546698
31370,경기도,가평군,0.35294891783404836,0.3217012373219297,0.050711374684194295,0.7625875683809806,0.5283208335737188,0.0,4397.620444614244
31101,경기도,고양시 덕양구,0.35294891783404836,0.7918147213185325,0.03496641179264529,0.6239998059405343,0.0,0.0,3031.449516026574
31103,경기도,고양시 일산동구,0.35294891783404836,0.6172540356373157,0.2192822089942748,0.6288716223861225,0.0,0.0,19024.506122821822
31104,경기도,고양시 일산서구,0.35294891783404836,0.5821244256912452,0.11533221516755947,0.4680302026106226,0.0,0.0,10004.77392349517
31060,경기도,광명시,0.35294891783404836,0.6617691241061183,0.05118200149330783,0.41356596444959065,0.0,0.0,4438.47580395112
31250,경기도,광주시,0.35294891783404836,0.7275059030378408,0.03787778098944684,0.636633631776035,0.33333333333333337,0.0,3284.095975939864
31120,경기도,구리시,0.35294891783404836,0.5998629663191415,0.023964940361807636,0.27331597401761487,0.0,0.022875330268781226,2076.855201369494
31160,경기도,군포시,0.35294891783404836,0.6767329069282764,0.013641733559928626,0.30861475067676447,0.33333333333333337,0.0,1181.154968914065
31230,경기도,김포시,0.35294891783404836,0.8052686332271075,0.4161708895076175,0.7254284118620399,0.0,0.5397930991407166,36108.56883788709
31130,경기도,남양주시,0.35294891783404836,0.9747177224888768,0.04294325843237419,0.784766095130669,0.33333333333333337,0.0,3723.6497836227522
31080,경기도,동두천시,0.35294891783404836,0.35654097844789234,0.17070217282076594,0.5841426857790232,0.0,0.5315988333101792,14809.196656130765
31050,경기도,부천시,0.35294891783404836,1.0,0.0003324771712118411,0.46292212601514665,0.33333333333333337,0.0,26.34335650892544
31023,경기도,성남시 분당구,0.35294891783404836,0.8391405811894543,0.0030947457669451665,0.32341333321871635,0.0,0.0,265.97742167051587
31021,경기도,성남시 수정구,0.35294891783404836,0.6507521150305462,0.00015624963483618185,0.0,0.33333333333333337,0.0,11.042208151447998
31022,경기도,성남시 중원구,0.35294891783404836,0.5758330165822496,0.0005068170678362898,0.15430737533838224,0.0,0.0,41.4000320772497
31012,경기도,수원시 권선구,0.35294891783404836,0.718133135997522,0.0047148804153129,0.4729590109928787,0.0,0.0,406.5266113550075
31220,경기도,안성시,0.35294891783404836,0.5396322657543129,0.9981819190274572,0.9912076039417693,0.5283208335737188,0.8637352607644034,86609.67257012369
31042,경기도,안양시 동안구,0.35294891783404836,0.7052182055144351,0.0,0.27331597401761487,0.0,0.0,-2.56834022899847
31041,경기도,안양시 만안구,0.35294891783404836,0.6036890979443998,0.0033869538394550205,0.22605621892221242,0.0,0.0,291.30731403487766
31260,경기도,양주시,0.35294891783404836,0.5943744299441334,0.39565922795823816,0.8580843028176932,0.33333333333333337,0.7240338409474593,34328.77255268054
31380,경기도,양평군,0.35294891783404836,0.48045298805673786,0.12033842807262442,0.8605593734878443,0.5283208335737188,0.4935163482704681,10439.18635096924
31280,경기도,여주시,0.35294891783404836,0.3894807011003323,0.3712671438833648,0.8529993447517716,0.5283208335737188,0.7074405178805401,32212.264164411692
31350,경기도,연천군,0.35294891783404836,0.1989729067487831,0.25408775752413265,0.8697583421837932,0.5283208335737188,0.42199825533287755,22044.573257349042
